Country,2017INv,2017Emp,2018INv,2018Emp,2019Inv,2019Emp,2020Inv,2020Emp,TotalInv,TotalEmp,C1,C2,C3,C4,C5,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C25,C26,C27,C28,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,c60,c61,c62
China,1778.3,6135,238.2,825,61.1,544,0,0,2077.6,7504,0.56,9596961,2695000,12,86,10291926.88,119.09,0.02,CNY,NA,3927.04,1.62,0.22,87.48,0.96,1.22E+13,1.01,0.48,0.05,0.05,8.5,76.25,8.71E+12,27,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1427647786,1433783686,0
India,59.39,59.39,59.39,59.39,59.39,59.39,59.39,59.39,59.39,59.39,0.6,3287263,2981050,19.01,91,2238377.14,160.13,0.05,INR,NA,805.6,2.33,0.24,73.46,0.97,2.94E+12,1.15,0.27,0.04,0.04,34.6,68.56,2.33E+12,174,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1352642280,1366417754,0.01
United States,8671.57,8671.57,8671.57,8671.57,8671.57,8671.57,8671.57,8671.57,8671.57,8671.57,0.44,9833517,1348400,12.4,1,5254279.29,112.41,0.01,USD,NA,12984.33,1.8,0.34,82.78,0.71,2.14E+13,0.99,0.72,0.18,0.18,5.6,78.69,3.21E+13,14,7.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327096265,329064917,0.01
Indonesia,0,0,0,0,0,0,0,0,0,0,0.31,1904569,675500,18.99,62,464176.19,142.18,0.04,IDR,NA,811.9,2.36,0.5,65.56,0.63,1.02E+12,1.03,0.28,0.03,0.03,22.2,69.19,5.21E+11,126,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267670543,270625568,0.01
Pakistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,881913,935800,28.23,92,166298.45,156.91,0.04,PKR,NA,471.04,3.48,0.02,59.7,0.79,3.04E+11,0.98,0.1,0.03,0.03,64.2,66.48,91863740000,178,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212228286,216565318,0.02
Brazil,0,0,0,0,0,0,0,0,0,0,0.34,8515767,729500,14.16,55,529808.16,155.67,0.09,BRL,NA,2601.37,1.73,0.59,59.12,1.02,2.06E+12,1.15,0.51,0.09,0.09,13.5,75.51,9.55E+11,44,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209469323,211049527,0.01
Nigeria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,923768,200000,38.89,234,96280.75,214.23,0.16,NGN,NA,144.48,5.53,0.08,19.04,0.46,3.76E+11,0.94,0.1,0.06,0.06,66.9,53.43,37217620000,814,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195874683,200963599,0.03
Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,147570,220950,18.95,880,73189.65,161.14,0.06,BDT,NA,310.39,2.1,0.11,73.77,1.12,2.50E+11,1.19,0.17,0.04,0.04,28.2,72.49,86178750000,176,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161376708,163046161,0.01
Russia,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,0.13,17098240,1454000,12.9,7,1705345.68,168.17,0.07,RUB,NA,6602.66,1.75,0.5,90.22,0.59,1.58E+12,1.02,0.82,0.06,0.06,6.6,71.59,6.23E+11,25,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145734038,145872256,0
Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,1972550,336050,18.17,52,480270.66,130.2,0.03,MXN,NA,2090.18,2.18,0.34,90.45,0.73,1.15E+12,1.04,0.37,0.06,0.06,12.6,77.12,4.17E+11,38,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126190788,127575529,0.01
