Country,2017INv,2017Emp,2018INv,2018Emp,2019Inv,2019Emp,2020Inv,2020Emp,TotalInv,TotalEmp,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,c60,c61,c62
China,1778.30,6135.00,238.20,825.00,61.10,544.00,0.00,0.00,2077.60,7504.00,0.56,9596961.00,2695000.00,12.00,86.00,Beijing,10291926.88,119.09,0.02,CNY,NA,3927.04,1.62,0.22,87.48,0.96,12237700479375.00,1.01,0.48,0.05,0.05,8.50,Shanghai,"Xi Jinping (President), Li Keqiang (Premier)",76.25,8711267220000.00,27.00,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1427647786.00,1433783686.00,0.00
India,59.39,59.39,59.39,59.39,59.39,59.39,59.39,59.39,59.39,59.39,0.60,3287263.00,2981050.00,19.01,91.00,New Delhi,2238377.14,160.13,0.05,INR,NA,805.60,2.33,0.24,73.46,0.97,2936000000000.00,1.15,0.27,0.04,0.04,34.60,Bahadurgarh,"Narendra Modi (Prime Minister), Ram Nath Kovind (President), Subrahmanyam Jaishankar (Minister), Smriti Irani (Minister), Ravi Shankar Prasad (Minister), Gajendrasingh Shekhawat (Minister), Amit Shah (Minister), Mahendra Nath Pandey (Minister), D. V. Sadananda Gowda (Minister), Ravi Shankar Prasad (Minister)",68.56,2331566700000.00,174.00,0.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1352642280.00,1366417754.00,0.01
United States,8671.57,8671.57,8671.57,8671.57,8671.57,8671.57,8671.57,8671.57,8671.57,8671.57,0.44,9833517.00,1348400.00,12.40,1.00,"Washington, D.C.",5254279.29,112.41,0.01,USD,NA,12984.33,1.80,0.34,82.78,0.71,21439000000000.00,0.99,0.72,0.18,0.18,5.60,New York,"Donald Trump (President), Mike Pence (Vice President), G. T. Bynum (Mayor)",78.69,32120702650000.00,14.00,7.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327096265.00,329064917.00,0.01
Indonesia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,1904569.00,675500.00,18.99,62.00,Jakarta,464176.19,142.18,0.04,IDR,NA,811.90,2.36,0.50,65.56,0.63,1015539017536.50,1.03,0.28,0.03,0.03,22.20,Kalimantan,"Joko Widodo (President), Sri Mulyani Indrawati (Minister), Ma'ruf Amin (Vice President)",69.19,520686680000.00,126.00,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267670543.00,270625568.00,0.01
Pakistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,881913.00,935800.00,28.23,92.00,Islamabad,166298.45,156.91,0.04,PKR,NA,471.04,3.48,0.02,59.70,0.79,304400000000.00,0.98,0.10,0.03,0.03,64.20,Karachi,"Imran Khan (Prime Minister), Arif Alvi (President)",66.48,91863740000.00,178.00,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212228286.00,216565318.00,0.02
Brazil,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,8515767.00,729500.00,14.16,55.00,Brasília,529808.16,155.67,0.09,BRL,NA,2601.37,1.73,0.59,59.12,1.02,2055505502224.73,1.15,0.51,0.09,0.09,13.50,Jaú,"Jair Bolsonaro (President), Hamilton Mourão (Vice President)",75.51,954715100000.00,44.00,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209469323.00,211049527.00,0.01
Nigeria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,923768.00,200000.00,38.89,234.00,Abuja,96280.75,214.23,0.16,NGN,NA,144.48,5.53,0.08,19.04,0.46,375770713742.76,0.94,0.10,0.06,0.06,66.90,Lagos,"Muhammadu Buhari (President), Yemi Osinbajo (Vice President), Godswill Akpabio (Minister), Babatunde Fashola (Minister), Heineken Lokpobiri (Minister), Chris Ngige (Minister), Rauf Aregbesola (Minister), Ogbonnaya Onu (Minister), Abubakar Malami (Minister), Geoffrey Onyeama (Minister)",53.43,37217620000.00,814.00,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195874683.00,200963599.00,0.03
Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,147570.00,220950.00,18.95,880.00,Dhaka,73189.65,161.14,0.06,BDT,NA,310.39,2.10,0.11,73.77,1.12,249723887765.42,1.19,0.17,0.04,0.04,28.20,Dhaka,"Sheikh Hasina (Prime Minister), Mustafa Jabbar (Minister), AK Abdul Momen (Minister), Mustafa Kamal (Minister), Dipu Moni (Minister), Abdur Razzak (Minister), Anisul Huq (Minister), Yafes Osman (Minister), Tipu Munshi (Minister), Hasan Mahmud (Minister)",72.49,86178750000.00,176.00,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161376708.00,163046161.00,0.01
Russia,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,0.13,17098240.00,1454000.00,12.90,7.00,Moscow,1705345.68,168.17,0.07,RUB,NA,6602.66,1.75,0.50,90.22,0.59,1577524145963.17,1.02,0.82,0.06,0.06,6.60,Moscow,"Vladimir Putin (President), Mikhail Mishustin (Prime Minister)",71.59,623424900000.00,25.00,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145734038.00,145872256.00,0.00
Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,1972550.00,336050.00,18.17,52.00,Mexico City,480270.66,130.20,0.03,MXN,NA,2090.18,2.18,0.34,90.45,0.73,1149918794765.73,1.04,0.37,0.06,0.06,12.60,Mexico City,Andrés Manuel López Obrador (President),77.12,417020520000.00,38.00,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126190788.00,127575529.00,0.01
